timestamp,tray,filename,patch_sr,processing time,Gradient-SG,GradCAM,matlab_sr,Manual,Hypahl_transect
07-08-19_6dpi,tray1,1-4508001,3.01,21.36863613128662,0.47,0.63,1.0,0.5,0.0
07-08-19_6dpi,tray1,2-4508002,2.94,21.14818811416626,0.51,0.65,1.0,0.5,0.0
07-08-19_6dpi,tray1,3-4508003,2.79,21.256937503814697,0.58,0.77,1.0,0.0,0.0
07-08-19_6dpi,tray1,4-4508004,1.15,20.76885151863098,0.24,0.35,1.0,0.0,0.0
07-08-19_6dpi,tray1,5-4508005,12.74,24.48110604286194,1.97,2.87,2.0,1.0,8.0
07-08-19_6dpi,tray1,6-4508006,58.03,35.64474368095398,8.92,16.87,88.0,40.0,87.0
07-08-19_6dpi,tray1,7-4508007,8.48,22.95348858833313,1.25,2.14,16.0,1.0,12.0
07-08-19_6dpi,tray1,8-4508008,3.64,20.764933109283447,0.53,0.96,5.0,0.5,1.0
07-08-19_6dpi,tray1,9-4508009,2.52,20.998756170272827,0.41,0.57,1.0,0.2,2.0
07-08-19_6dpi,tray1,10-4508010,2.43,20.844032764434814,0.28,0.51,3.0,0.2,2.0
07-08-19_6dpi,tray1,11-4508011,7.26,22.346461057662964,1.13,2.1,10.0,0.5,12.0
07-08-19_6dpi,tray1,12-4508012,0.3,20.245360374450684,0.09,0.1,0.0,0.0,0.0
07-08-19_6dpi,tray1,13-4508013,0.42,20.404688119888306,0.06,0.09,1.0,0.1,3.0
07-08-19_6dpi,tray1,14-4508015,0.76,20.61145544052124,0.26,0.3,1.0,0.0,0.0
07-08-19_6dpi,tray1,15-4508016,10.57,23.106456518173218,1.51,2.88,20.0,3.0,34.0
07-08-19_6dpi,tray1,16-4508018,13.82,24.577912092208862,1.93,2.97,8.0,1.0,6.0
07-08-19_6dpi,tray1,17-4508019,26.74,27.179728269577026,3.87,7.04,30.0,15.0,68.0
07-08-19_6dpi,tray1,18-4508021,21.93,26.91741442680359,3.29,5.12,13.0,5.0,15.0
07-08-19_6dpi,tray1,19-4508022,70.37,37.661802768707275,11.69,21.85,58.0,40.0,50.0
07-08-19_6dpi,tray1,20-4508023,73.32,39.45390462875366,11.26,21.31,56.0,20.0,78.0
07-08-19_6dpi,tray1,21-4508024,31.81,28.770200490951538,4.62,7.99,18.0,10.0,21.0
07-08-19_6dpi,tray1,22-4508025,13.25,24.096359729766846,1.9,3.11,3.0,2.0,6.0
07-08-19_6dpi,tray1,23-4508026,0.0,20.321518182754517,0.04,0.06,0.0,0.0,0.0
07-08-19_6dpi,tray1,24-4508027,49.76,33.15635943412781,6.94,11.63,18.0,5.0,26.0
07-08-19_6dpi,tray1,25-4508030,6.09,22.24040126800537,1.15,1.56,2.0,0.1,1.0
07-08-19_6dpi,tray1,26-4508032,28.4,27.95902967453003,4.15,7.07,7.0,5.0,11.0
07-08-19_6dpi,tray1,27-4508033,84.13,42.300177574157715,14.67,25.91,69.0,30.0,82.0
07-08-19_6dpi,tray1,28-4508034,9.83,22.933029651641846,1.57,2.28,9.0,3.0,7.0
07-08-19_6dpi,tray1,29-4508035,53.07,33.38004994392395,8.53,15.6,65.0,15.0,57.0
07-08-19_6dpi,tray1,30-4508036,10.45,23.094232320785522,1.28,2.23,10.0,1.0,8.0
07-08-19_6dpi,tray1,31-4508037,9.21,23.190497159957886,1.5,2.51,10.0,2.0,22.0
07-08-19_6dpi,tray1,32-4508038,16.76,24.724854946136475,2.29,4.15,15.0,3.0,13.0
07-08-19_6dpi,tray1,33-4508039,27.37,27.804088830947876,3.69,6.58,17.0,3.0,32.0
07-08-19_6dpi,tray1,34-4508040,57.87,35.30729675292969,8.4,14.83,69.0,15.0,51.0
07-08-19_6dpi,tray1,35-4508041,3.12,21.341021299362183,0.51,0.73,1.0,0.0,0.0
07-08-19_6dpi,tray1,36-4508042,3.17,21.293907165527344,0.55,0.84,1.0,0.1,6.0
