Gradient,Gradient-SG,GradCAM,gt
4947,5561,10285,160
5453,6574,6103,119
6538,7107,6299,178
5190,5943,12313,147
8089,8603,7808,202
2711,2855,5806,49
4035,4231,7955,105
10082,12326,21803,383
4838,5247,8067,307
9564,11460,11864,433
7365,8252,7847,236
8714,10471,16511,373
10191,11057,19355,490
9364,11912,12499,441
7323,8429,9420,186
4433,4817,7066,183
10391,12430,29859,643
10756,12064,18177,366
5144,5133,7780,176
7953,9270,11746,273
5951,6142,14171,169
5548,6458,11958,172
7190,8495,12483,148
5079,5978,10201,194
5062,5425,8947,193
7032,7475,13623,329
5960,6649,7237,82
8950,11232,25948,382
5393,5363,9231,218
4092,4286,7388,80
8904,10860,20115,410
3724,4158,7397,86
6351,6472,8621,254
11692,13670,22738,709
5681,6328,9728,333
7471,8163,14789,339
5940,6562,12583,197
7408,7963,13215,368
3665,4007,8818,223
4751,5165,9859,133
5849,6084,7664,125
6967,8026,15101,482
6119,7477,10924,97
6381,7658,15535,202
5241,5673,9002,135
7053,9202,6778,218
6322,6941,11093,202
6103,6330,9077,193
7314,8533,11863,275
5599,6717,12745,190
5323,5564,11878,262
8199,9880,22595,351
5760,6488,10664,170
4193,4908,6058,89
7205,7678,22992,405
6378,7380,13669,222
8327,9654,17483,397
3727,4152,6654,127
4333,4879,6926,90
4714,5422,8383,122
6745,8418,14608,171
3943,4418,5153,43
7197,8073,11889,165
7809,9341,8238,438
6106,6541,5309,157
8651,10116,11980,223
5904,6671,12771,348
11270,13532,23920,313
6955,7535,14157,223
5142,6035,7295,104
5598,6902,11405,169
6593,6478,7365,264
5683,5448,5111,139
3725,3369,5033,109
6900,7809,8059,276
6292,7655,10510,151
5024,4955,6185,72
6796,7455,13696,107
5255,5650,9325,134
5797,6300,9047,219
4965,5172,7574,139
4746,5139,10089,164
6297,6755,14088,211
4982,5439,14474,174
6250,6391,6479,239
4997,5063,5273,106
5163,5724,6127,132
7565,6797,9942,134
7207,8834,9773,133
7797,9328,10976,193
5524,5440,10902,208
6268,7184,13542,167
4567,5271,7040,73
8285,9404,9866,312
4775,4847,8048,142
7967,9503,9225,149
7190,7735,9937,213
8110,10665,11367,536
4300,7008,18042,152
6460,7794,14518,186
6506,7147,17910,278
6586,7211,10890,579
6496,6956,9285,186
6787,7725,10132,263
6640,7263,10282,206
5876,6636,14527,225
7593,8492,17517,246
6867,7823,12532,201
7500,8831,17421,329
7842,9113,16191,175
4821,3935,7358,259
9197,9931,14495,510
5515,5895,7804,177
6618,5878,5546,60
5663,5814,7686,150
8400,10345,24115,297
5540,6329,15671,222
5866,6550,11425,103
5001,5417,10236,148
7508,8339,19706,472
6864,7577,13266,322
6569,7322,9254,206
4812,5583,7822,106
6547,7370,14875,361
8038,9225,19722,387
9479,11061,25202,291
10414,11562,21368,610
10256,11937,29493,905
7895,9012,22459,228
9359,10328,20239,606
8405,8938,14464,179
7753,9116,20599,357
7869,8763,20056,396
5725,6274,16265,355
6665,7207,20928,215
9167,10626,26537,673
7422,8301,15583,193
6958,8254,16739,266
5373,5946,8976,246
2303,2396,3566,49
11564,12883,16134,345
9728,10985,23681,1101
5401,5670,11921,112
8147,8473,19295,361
7409,8330,22516,415
8709,9859,25740,426
8964,10152,19377,403
7019,8341,18433,350
7551,8794,18417,474
6649,7474,13230,137
9546,11014,25299,480
8666,10166,20329,351
10224,11372,23892,590
7512,8323,17760,229
7400,7945,17666,457
4793,5526,9315,136
5840,6309,16016,214
5584,6550,10852,163
4884,6153,6163,79
5334,5882,9771,129
5013,5512,5244,100
4349,5915,9644,149
8919,9301,14376,140
4913,5785,11931,171
7994,8626,4633,81
4976,5764,7518,84
6091,6969,17222,317
5876,6937,6696,103
5937,6290,7286,121
7385,7632,15251,255
4690,4959,7421,149
6253,6673,11951,166
6005,5706,9086,121
6198,5711,7991,120
7576,8948,14638,176
6724,9065,11447,143
4641,4565,6024,89
7941,9050,16243,387
10552,10919,15295,324
5511,6210,7626,142
4036,4579,6872,98
8043,8921,18466,311
5204,5503,7485,159
5397,6014,11019,114
4392,4855,8989,491
6857,8163,14634,358
9052,10493,13585,385
4401,5202,9641,223
11616,13428,25982,724
10679,12656,17720,632
10718,12755,19079,743
8873,9748,13788,275
6518,7531,9170,206
6101,7745,9825,292
6798,6415,9656,189
9504,9477,12964,399
6420,7207,13437,375
8683,10145,21292,468
8987,11055,15146,663
6016,7158,10869,178
7761,8821,10112,275
6017,7043,11004,172
12555,14313,20653,101
8331,10222,13220,389
14871,18035,24822,1274
7380,8272,13951,339
8443,9913,13610,282
7637,9449,15068,681
6296,6953,16945,348
8088,8916,8990,155
8243,9493,19528,148
5704,6549,14184,224
7543,8861,8698,62
5165,5711,4875,223
5802,6087,12306,210
10410,11607,14681,377
5162,5821,9053,250
5727,6603,11322,152
6122,6743,11677,201
7024,8311,17757,396
4813,5389,9141,111
5864,6818,9742,132
7308,7902,12070,192
8264,8591,10612,145
8585,9100,9909,219
5595,6053,12155,224
6040,7045,9949,144
5049,5887,3981,102
8057,9387,20927,336
9330,10801,23015,449
4108,4401,8656,118
5753,6578,10716,147
5772,5802,9077,112
7996,8173,11616,303
5334,6198,5396,97
10259,12454,26130,778
5250,5907,10445,132
7212,8730,15395,566
3444,3932,6286,66
8148,9446,9899,281
5581,5833,7764,83
4180,4054,6021,105
7264,7976,14742,331
4464,4761,6946,72
13496,15598,19652,445
6112,6817,12023,200
6882,7020,12705,74
5757,6214,9854,175
4672,5238,10827,119
10104,11472,25157,538
3810,4024,7786,135
9178,10154,12394,373
9368,9964,23308,493
7199,8009,12812,434
7545,8466,17358,378
10183,11670,28332,502
5329,5359,6109,74
6030,6356,11207,205
4805,5231,8311,188
6072,6440,10427,188
4131,4580,6323,95
7162,8284,10465,220
6555,6938,12171,134
6950,7958,9742,223
5357,6616,12667,224
9847,9517,16411,183
8000,9467,19490,216
10969,12286,23028,416
6753,7479,12120,258
11133,12752,14681,245
4171,4548,7823,137
5170,5701,11411,158
9131,9811,19153,320
10024,13243,22224,594
5581,6079,9423,104
8716,10383,13404,129
10852,13544,23215,577
7858,9113,18840,223
15277,16391,25576,214
7905,9920,20547,291
7153,8882,15579,189
11623,13153,10712,67
8688,9794,26239,347
8776,10471,19650,564
8055,10289,19014,216
8878,10907,19933,386
13975,18173,32908,657
5523,7101,13238,223
5621,6681,13175,261
6542,7888,19063,223
11302,12447,32977,1028
4385,5014,8801,100
9310,11268,22639,522
7630,9476,20818,488
4545,5133,11359,150
6176,6784,13988,217
6123,6819,6818,335
3250,3632,6091,67
5501,6211,9477,178
7927,8611,20212,405
8901,9680,24491,331
3575,4219,4327,104
3591,3747,5307,84
8741,9642,18843,176
7780,8959,24417,354
6883,7673,15466,189
5835,6554,7123,191
2788,3063,4857,60
8404,9470,25267,490
3338,4033,6472,42
6557,7152,15209,413
9758,10592,21289,445
9668,11161,21820,793
4799,5602,10579,108
4652,5444,11123,268
4618,5227,8161,162
7416,7580,7653,360
6409,7038,11013,92
4115,4413,9539,124
6788,7498,21604,285
7309,8275,11541,130
3620,4004,7147,128
13931,17166,22678,1493
7007,7079,19935,402
11196,13407,23364,538
8793,10085,24126,443
4705,4913,11260,191
7897,9152,22715,415
7510,8573,9044,283
7980,8778,15032,344
8008,9063,11605,86
12278,13990,22864,748
4387,5075,8511,207
4555,5189,10306,158
5971,7149,11599,212
10734,12429,22336,378
5282,6154,10715,225
7445,8228,14429,462
10371,12392,20349,567
7667,8610,15323,338
4780,4840,7647,112
6895,8336,19075,326
5157,6030,10371,152
8132,9097,17508,295
5983,6293,9067,130
8018,9146,12770,216
6945,8025,20721,375
